14837KMSN MSN20050401044009404/01/05 04:40:31  5-MIN KMSN 011040Z 00000KT 8SM CLR M01/M02 A3008 710 92 -900 000/00 RMK AO2
14837KMSN MSN20050401044509404/01/05 04:45:31  5-MIN KMSN 011045Z 00000KT 8SM CLR M01/M02 A3008 710 92 -900 000/00 RMK AO2
14837KMSN MSN20050401045011404/01/05 04:50:31  5-MIN KMSN 011050Z 00000KT 6SM BR CLR M01/M02 A3008 710 92 -900 000/00 RMK AO2 SLP193 T10061017
14837KMSN MSN20050401045509704/01/05 04:55:31  5-MIN KMSN 011055Z 00000KT 6SM BR CLR M01/M02 A3008 720 88 -900 000/00 RMK AO2
14837KMSN MSN20050401050009404/01/05 05:00:31  5-MIN KMSN 011100Z 00000KT 7SM CLR M01/M02 A3008 710 88 -900 000/00 RMK AO2
14837KMSN MSN20050401050509404/01/05 05:05:31  5-MIN KMSN 011105Z 00000KT 8SM CLR M01/M02 A3008 710 92 -900 000/00 RMK AO2
14837KMSN MSN20050401051009404/01/05 05:10:31  5-MIN KMSN 011110Z 00000KT 8SM CLR 00/M02 A3009 710 88  -900 000/00 RMK AO2
14837KMSN MSN20050401051509404/01/05 05:15:31  5-MIN KMSN 011115Z 00000KT 7SM CLR 00/M01 A3009 710 92  -900 000/00 RMK AO2
14837KMSN MSN20050401052009704/01/05 05:20:31  5-MIN KMSN 011120Z 00000KT 6SM BR CLR 00/M01 A3009 710  92 -900 000/00 RMK AO2
14837KMSN MSN20050401052509704/01/05 05:25:31  5-MIN KMSN 011125Z 00000KT 6SM BR CLR 00/M01 A3009 710  92 -900 000/00 RMK AO2
14837KMSN MSN20050401053009404/01/05 05:30:31  5-MIN KMSN 011130Z 00000KT 7SM CLR 00/M02 A3009 710 88  -900 000/00 RMK AO2
14837KMSN MSN20050401053509404/01/05 05:35:31  5-MIN KMSN 011135Z 00000KT 8SM CLR 00/M02 A3009 710 88  -900 000/00 RMK AO2
14837KMSN MSN20050401054009704/01/05 05:40:31  5-MIN KMSN 011140Z 00000KT 6SM BR CLR 00/M02 A3009 710  88 -900 000/00 RMK AO2
14837KMSN MSN20050401054509704/01/05 05:45:31  5-MIN KMSN 011145Z 00000KT 5SM BR CLR 00/M02 A3009 710  88 -900 000/00 RMK AO2
14837KMSN MSN20050401055013204/01/05 05:50:31  5-MIN KMSN 011150Z 00000KT 6SM BR CLR 00/M02 A3009 710  88 -900 000/00 RMK AO2 SLP195 T00001017 10028 21006 58004
14837KMSN MSN20050401055509704/01/05 05:55:31  5-MIN KMSN 011155Z 00000KT 6SM BR CLR M01/M02 A3009 710 92 -900 000/00 RMK AO2
14837KMSN MSN20050401060009704/01/05 06:00:31  5-MIN KMSN 011200Z 00000KT 6SM BR CLR M01/M02 A3009 710 88 -900 000/00 RMK AO2
14837KMSN MSN20050401060509404/01/05 06:05:31  5-MIN KMSN 011205Z 00000KT 7SM CLR M01/M02 A3009 700 88 -900 000/00 RMK AO2
14837KMSN MSN20050401061009404/01/05 06:10:31  5-MIN KMSN 011210Z 00000KT 7SM CLR M01/M02 A3009 700 88 -900 000/00 RMK AO2
14837KMSN MSN20050401061509404/01/05 06:15:31  5-MIN KMSN 011215Z 00000KT 7SM CLR 00/M02 A3009 700 85  -900 000/00 RMK AO2
14837KMSN MSN20050401062009404/01/05 06:20:31  5-MIN KMSN 011220Z 00000KT 7SM CLR M01/M02 A3010 700 88 -900 000/00 RMK AO2
14837KMSN MSN20050401062509704/01/05 06:25:31  5-MIN KMSN 011225Z 00000KT 6SM BR CLR 00/M02 A3010 700  85 -900 000/00 RMK AO2
14837KMSN MSN20050401063009704/01/05 06:30:31  5-MIN KMSN 011230Z 00000KT 6SM BR CLR 00/M02 A3010 700  88 -900 000/00 RMK AO2
14837KMSN MSN20050401063509404/01/05 06:35:31  5-MIN KMSN 011235Z 00000KT 7SM CLR 01/M01 A3010 700 89  -800 000/00 RMK AO2
